duplicate_title,duplicate_url,matches,original_title,original_url
"","https://nutritionsource.hsph.harvard.edu/wp-content/uploads/2012/09/HEPJan2015.jpg","matches","Download one here","https://nutritionsource.hsph.harvard.edu/wp-content/uploads/2012/09/HEPJan2015.jpg"
"downloadable version","https://nutritionsource.hsph.harvard.edu/wp-content/uploads/2012/09/HEPJan2015.jpg","matches","Download one here","https://nutritionsource.hsph.harvard.edu/wp-content/uploads/2012/09/HEPJan2015.jpg"
"The Nutrition Source","http://thenutritionsource.org/","matches","The Nutrition Source","https://nutritionsource.hsph.harvard.edu/"
"Sign up","https://signup.e2ma.net/signup/1940466/1914949/","matches","Download one here","https://nutritionsource.hsph.harvard.edu/wp-content/uploads/2012/09/HEPJan2015.jpg"
"Quinoa","https://nutritionsource.hsph.harvard.edu/quinoa/","matches","Quinoa","https://nutritionsource.hsph.harvard.edu/food-features/quinoa/"
"Whole Grains","https://nutritionsource.hsph.harvard.edu/whole-grains/","matches","Whole Grains","https://nutritionsource.hsph.harvard.edu/what-should-you-eat/whole-grains/"
"The Best Diet: Quality Counts","https://nutritionsource.hsph.harvard.edu/best-diet-quality-counts/","matches","The Best Diet: Quality Counts","https://nutritionsource.hsph.harvard.edu/healthy-weight/best-diet-quality-counts/"
"Oats","https://nutritionsource.hsph.harvard.edu/oats/","matches","Oats","https://nutritionsource.hsph.harvard.edu/food-features/oats/"
"Chia Seeds","https://nutritionsource.hsph.harvard.edu/food-features/chia-seeds/","matches","Chia Seeds","https://nutritionsource.hsph.harvard.edu/chia-seeds/"
"Chickpeas (Garbanzo Beans)","https://nutritionsource.hsph.harvard.edu/food-features/chickpeas-garbanzo-beans/","matches","Chickpeas (Garbanzo Beans)","https://nutritionsource.hsph.harvard.edu/chickpeas-garbanzo-beans/"
"Brussels Sprouts","https://nutritionsource.hsph.harvard.edu/food-features/brussels-sprouts/","matches","Brussels Sprouts","https://nutritionsource.hsph.harvard.edu/brussels-sprouts/"
"Eggs","https://nutritionsource.hsph.harvard.edu/food-features/eggs/","matches","Eggs","https://nutritionsource.hsph.harvard.edu/eggs/"
"Yogurt","https://nutritionsource.hsph.harvard.edu/food-features/yogurt/","matches","Yogurt","https://nutritionsource.hsph.harvard.edu/yogurt/"
"Types of Fat","https://nutritionsource.hsph.harvard.edu/types-of-fat/","matches","Types of Fat","https://nutritionsource.hsph.harvard.edu/what-should-you-eat/fats-and-cholesterol/types-of-fat/"
"Stir Fried Chicken with Celery, Chiles, and Toasted Macadamia Nuts and Cashews in Lettuce Cups","https://nutritionsource.hsph.harvard.edu/recipes/%7Cilink%7Crecipes/stir-fried-chicken","matches","Stir Fried Chicken with Celery, Chiles, and Toasted Macadamia Nuts and Cashews in Lettuce Cups","https://nutritionsource.hsph.harvard.edu/stir-fried-chicken/"
"Healthy Dietary Styles","https://nutritionsource.hsph.harvard.edu/healthy-dietary-styles/","matches","Healthy Dietary Styles","https://nutritionsource.hsph.harvard.edu/healthy-weight/healthy-dietary-styles/"
"Heart Disease","https://nutritionsource.hsph.harvard.edu/disease-prevention/cardiovascular-disease/cvd-types/","matches","Heart Disease","https://nutritionsource.hsph.harvard.edu/disease-prevention/cardiovascular-disease/"
"Vitamins and Minerals","https://nutritionsource.hsph.harvard.edu/what-should-you-eat/vitamins/","matches","Vitamins and Minerals","https://nutritionsource.hsph.harvard.edu/vitamins/"
"Diet Review: DASH","https://nutritionsource.hsph.harvard.edu/healthy-weight/diet-reviews/dash-diet/","matches","Diet Review: DASH","https://nutritionsource.hsph.harvard.edu/dash-diet/"
"News","https://www.hsph.harvard.edu/news/features/food-transformation-human-planetary-health/","matches","News","https://www.hsph.harvard.edu/news/press-releases/red-meat-consumption-associated-with-increased-type-2-diabetes-risk"
